Date,CPI,,,,,,,
6/30/50,4.3,,,,,,,
9/29/50,4.4,,,,,,,
12/29/50,4.6,,,,,,,
3/30/51,4.8,,,,,,,
6/29/51,5.1,,,,,,,
9/28/51,5.3,,,,,,,
12/31/51,5.7,,,,,,,
3/31/52,5.9,,,,,,,
6/30/52,6.1,,,,,,,
9/30/52,6.2,,,,,,,
12/31/52,6.3,,,,,,,
3/31/53,6.3,,,,,,,
6/30/53,6.4,,,,,,,
9/30/53,6.5,,,,,,,
12/31/53,6.4,,,,,,,
3/31/54,6.5,,,,,,,
6/30/54,6.5,,,,,,,
9/30/54,6.5,,,,,,,
12/31/54,6.5,,,,,,,
3/31/55,6.5,,,,,,,
6/30/55,6.6,,,,,,,
9/30/55,6.6,,,,,,,
12/30/55,6.7,,,,,,,
3/30/56,6.7,,,,,,,
6/29/56,7,,,,,,,
9/28/56,7.1,,,,,,,
12/31/56,7.1,,,,,,,
3/29/57,7.1,,,,,,,
6/28/57,7.2,,,,,,,
9/30/57,7.2,,,,,,,
12/31/57,7.2,,,,,,,
3/31/58,7.2,,,,,,,
6/30/58,7.2,,,,,,,
9/30/58,7.2,,,,,,,
12/31/58,7.3,,,,,,,
3/31/59,7.3,,,,,,,
6/30/59,7.3,,,,,,,
9/30/59,7.4,,,,,,,
12/31/59,7.5,,,,,,,
3/31/60,7.5,,,,,,,
6/30/60,7.6,,,,,,,
9/30/60,7.7,,,,,,,
12/30/60,7.8,,,,,,,
3/31/61,7.8,,,,,,,
6/30/61,7.9,,,,,,,
9/29/61,7.8,,,,,,,
12/29/61,7.8,,,,,,,
3/30/62,7.8,,,,,,,
6/29/62,7.8,,,,,,,
9/28/62,7.8,,,,,,,
12/31/62,7.8,,,,,,,
3/29/63,7.8,,,,,,,
6/28/63,7.8,,,,,,,
9/30/63,7.9,,,,,,,
12/31/63,7.9,,,,,,,
3/31/64,8,,,,,,,
6/30/64,8,,,,,,,
9/30/64,8.1,,,,,,,
12/31/64,8.2,,,,,,,
3/31/65,8.2,,,,,,,
6/30/65,8.3,,,,,,,
9/30/65,8.4,,,,,,,
12/31/65,8.5,,,,,,,
3/31/66,8.6,,,,,,,
6/30/66,8.6,,,,,,,
9/30/66,8.6,,,,,,,
12/30/66,8.7,,,,,,,
3/31/67,8.8,,,,,,,
6/30/67,8.9,,,,,,,
9/29/67,9,,,,,,,
12/29/67,9,,,,,,,
3/29/68,9.1,,,,,,,
6/28/68,9.1,,,,,,,
9/30/68,9.2,,,,,,,
12/31/68,9.2,,,,,,,
3/31/69,9.4,,,,,,,
6/30/69,9.4,,,,,,,
9/30/69,9.5,,,,,,,
12/31/69,9.5,,,,,,,
3/31/70,9.6,,,,,,,
6/30/70,9.7,,,,,,,
9/30/70,9.8,,,,,,,
12/31/70,10,,,,,,,
3/31/71,10.1,,,,,,,
6/30/71,10.2,,,,,,,
9/30/71,10.5,,,,,,,
12/31/71,10.7,,,,,,,
3/31/72,10.8,,,,,,,
6/30/72,10.9,,,,,,,
9/29/72,11.1,,,,,,,
12/29/72,11.2,,,,,,,
3/30/73,11.4,,,,,,,
6/29/73,11.8,,,,,,,
9/28/73,12.2,,,,,,,
12/31/73,12.6,,,,,,,
3/29/74,13,,,,,,,
6/28/74,13.5,,,,,,,
9/30/74,14.2,,,,,,,
12/31/74,14.7,,,,,,,
3/31/75,15.3,,,,,,,
6/30/75,15.8,,,,,,,
9/30/75,15.9,,,,,,,
12/31/75,16.8,,,,,,,
3/31/76,17.3,,,,,,,
6/30/76,17.7,,,,,,,
9/30/76,18.1,,,,,,,
12/31/76,19.2,,,,,,,
3/31/77,19.6,,,,,,,
6/30/77,20.1,,,,,,,
9/30/77,20.5,,,,,,,
12/30/77,21,,,,,,,
3/31/78,21.3,,,,,,,
6/30/78,21.7,,,,,,,
9/29/78,22.1,,,,,,,
12/29/78,22.6,,,,,,,
3/30/79,23,,,,,,,
6/29/79,23.6,,,,,,,
9/28/79,24.2,,,,,,,
12/31/79,24.9,,,,,,,
3/31/80,25.4,,,,,,,
6/30/80,26.2,,,,,,,
9/30/80,26.6,,,,,,,
12/31/80,27.2,,,,,,,
3/31/81,27.8,,,,,,,
6/30/81,28.4,,,,,,,
9/30/81,29,,,,,,,
12/31/81,30.2,,,,,,,
3/31/82,30.8,,,,,,,
6/30/82,31.5,,,,,,,
9/30/82,32.6,,,,,,,
12/31/82,33.6,,,,,,,
3/31/83,34.3,,,,,,,
6/30/83,35,,,,,,,
9/30/83,35.6,,,,,,,
12/30/83,36.5,,,,,,,
3/30/84,36.3,,,,,,,
6/29/84,36.4,,,,,,,
9/28/84,36.9,,,,,,,
12/31/84,37.4,,,,,,,
3/29/85,37.9,,,,,,,
6/28/85,38.8,,,,,,,
9/30/85,39.7,,,,,,,
12/31/85,40.5,,,,,,,
3/31/86,41.4,,,,,,,
6/30/86,42.1,,,,,,,
9/30/86,43.2,,,,,,,
12/31/86,44.4,,,,,,,
3/31/87,45.3,,,,,,,
6/30/87,46,,,,,,,
9/30/87,46.8,,,,,,,
12/31/87,47.6,,,,,,,
3/31/88,48.4,,,,,,,
6/30/88,49.3,,,,,,,
9/30/88,50.2,,,,,,,
12/30/88,51.2,,,,,,,
3/31/89,51.7,,,,,,,
6/30/89,53,,,,,,,
9/29/89,54.2,,,,,,,
12/29/89,55.2,,,,,,,
3/30/90,56.2,,,,,,,
6/29/90,57.1,,,,,,,
9/28/90,57.5,,,,,,,
12/31/90,59,,,,,,,
3/29/91,58.9,,,,,,,
6/28/91,59,,,,,,,
9/30/91,59.3,,,,,,,
12/31/91,59.9,,,,,,,
3/31/92,59.9,,,,,,,
6/30/92,59.7,,,,,,,
9/30/92,59.8,,,,,,,
12/31/92,60.1,,,,,,,
3/31/93,60.6,,,,,,,
6/30/93,60.8,,,,,,,
9/30/93,61.1,,,,,,,
12/31/93,61.2,,,,,,,
3/31/94,61.5,,,,,,,
6/30/94,61.9,,,,,,,
9/30/94,62.3,,,,,,,
12/30/94,62.8,,,,,,,
3/31/95,63.8,,,,,,,
6/30/95,64.7,,,,,,,
9/29/95,65.5,,,,,,,
12/29/95,66,,,,,,,
3/29/96,66.2,,,,,,,
6/28/96,66.7,,,,,,,
9/30/96,66.9,,,,,,,
12/31/96,67,,,,,,,
3/31/97,67.1,,,,,,,
6/30/97,66.9,,,,,,,
9/30/97,66.6,,,,,,,
12/31/97,66.8,,,,,,,
3/31/98,67,,,,,,,
6/30/98,67.4,,,,,,,
9/30/98,67.5,,,,,,,
12/31/98,67.8,,,,,,,
3/31/99,67.8,,,,,,,
6/30/99,68.1,,,,,,,
9/30/99,68.7,,,,,,,
12/31/99,69.1,,,,,,,
3/31/00,69.7,,,,,,,
6/30/00,70.2,,,,,,,
9/29/00,72.9,,,,,,,
12/29/00,73.1,,,,,,,
3/30/01,73.9,,,,,,,
6/29/01,74.5,,,,,,,
9/28/01,74.7,,,,,,,
12/31/01,75.4,,,,,,,
3/29/02,76.1,,,,,,,
6/28/02,76.6,,,,,,,
9/30/02,77.1,,,,,,,
12/31/02,77.6,,,,,,,
3/31/03,78.6,,,,,,,
6/30/03,78.6,,,,,,,
9/30/03,79.1,,,,,,,
12/31/03,79.5,,,,,,,
3/31/04,80.2,,,,,,,
6/30/04,80.6,,,,,,,
9/30/04,80.9,,,,,,,
12/31/04,81.5,,,,,,,
3/31/05,82.1,,,,,,,
6/30/05,82.6,,,,,,,
9/30/05,83.4,,,,,,,
12/30/05,83.8,,,,,,,
3/31/06,84.5,,,,,,,
6/30/06,85.9,,,,,,,
9/29/06,86.7,,,,,,,
12/29/06,86.6,,,,,,,
3/30/07,86.6,,,,,,,
6/29/07,87.7,,,,,,,
9/28/07,88.3,,,,,,,
12/31/07,89.1,,,,,,,
3/31/08,90.3,,,,,,,
6/30/08,91.6,,,,,,,
9/30/08,92.7,,,,,,,
12/31/08,92.4,,,,,,,
3/31/09,92.5,,,,,,,
6/30/09,92.9,,,,,,,
9/30/09,93.8,,,,,,,
12/31/09,94.3,,,,,,,
3/31/10,95.2,,,,,,,
6/30/10,95.8,,,,,,,
9/30/10,96.5,,,,,,,
12/31/10,96.9,,,,,,,
3/31/11,98.3,,,,,,,
6/30/11,99.2,,,,,,,
9/30/11,99.8,,,,,,,
12/30/11,99.8,,,,,,,
3/30/12,99.9,,,,,,,
6/29/12,100.4,,,,,,,
9/28/12,101.8,,,,,,,
12/31/12,102,,,,,,,
3/29/13,102.4,,,,,,,
6/28/13,102.8,,,,,,,
9/30/13,104,,,,,,,
