Date,CPI,,,,,,,
30/06/1950,4.3,,,,,,,
29/09/1950,4.4,,,,,,,
29/12/1950,4.6,,,,,,,
30/03/1951,4.8,,,,,,,
29/06/1951,5.1,,,,,,,
28/09/1951,5.3,,,,,,,
31/12/1951,5.7,,,,,,,
31/03/1952,5.9,,,,,,,
30/06/1952,6.1,,,,,,,
30/09/1952,6.2,,,,,,,
31/12/1952,6.3,,,,,,,
31/03/1953,6.3,,,,,,,
30/06/1953,6.4,,,,,,,
30/09/1953,6.5,,,,,,,
31/12/1953,6.4,,,,,,,
31/03/1954,6.5,,,,,,,
30/06/1954,6.5,,,,,,,
30/09/1954,6.5,,,,,,,
31/12/1954,6.5,,,,,,,
31/03/1955,6.5,,,,,,,
30/06/1955,6.6,,,,,,,
30/09/1955,6.6,,,,,,,
30/12/1955,6.7,,,,,,,
30/03/1956,6.7,,,,,,,
29/06/1956,7,,,,,,,
28/09/1956,7.1,,,,,,,
31/12/1956,7.1,,,,,,,
29/03/1957,7.1,,,,,,,
28/06/1957,7.2,,,,,,,
30/09/1957,7.2,,,,,,,
31/12/1957,7.2,,,,,,,
31/03/1958,7.2,,,,,,,
30/06/1958,7.2,,,,,,,
30/09/1958,7.2,,,,,,,
31/12/1958,7.3,,,,,,,
31/03/1959,7.3,,,,,,,
30/06/1959,7.3,,,,,,,
30/09/1959,7.4,,,,,,,
31/12/1959,7.5,,,,,,,
31/03/1960,7.5,,,,,,,
30/06/1960,7.6,,,,,,,
30/09/1960,7.7,,,,,,,
30/12/1960,7.8,,,,,,,
31/03/1961,7.8,,,,,,,
30/06/1961,7.9,,,,,,,
29/09/1961,7.8,,,,,,,
29/12/1961,7.8,,,,,,,
30/03/1962,7.8,,,,,,,
29/06/1962,7.8,,,,,,,
28/09/1962,7.8,,,,,,,
31/12/1962,7.8,,,,,,,
29/03/1963,7.8,,,,,,,
28/06/1963,7.8,,,,,,,
30/09/1963,7.9,,,,,,,
31/12/1963,7.9,,,,,,,
31/03/1964,8,,,,,,,
30/06/1964,8,,,,,,,
30/09/1964,8.1,,,,,,,
31/12/1964,8.2,,,,,,,
31/03/1965,8.2,,,,,,,
30/06/1965,8.3,,,,,,,
30/09/1965,8.4,,,,,,,
31/12/1965,8.5,,,,,,,
31/03/1966,8.6,,,,,,,
30/06/1966,8.6,,,,,,,
30/09/1966,8.6,,,,,,,
30/12/1966,8.7,,,,,,,
31/03/1967,8.8,,,,,,,
30/06/1967,8.9,,,,,,,
29/09/1967,9,,,,,,,
29/12/1967,9,,,,,,,
29/03/1968,9.1,,,,,,,
28/06/1968,9.1,,,,,,,
30/09/1968,9.2,,,,,,,
31/12/1968,9.2,,,,,,,
31/03/1969,9.4,,,,,,,
30/06/1969,9.4,,,,,,,
30/09/1969,9.5,,,,,,,
31/12/1969,9.5,,,,,,,
31/03/1970,9.6,,,,,,,
30/06/1970,9.7,,,,,,,
30/09/1970,9.8,,,,,,,
31/12/1970,10,,,,,,,
31/03/1971,10.1,,,,,,,
30/06/1971,10.2,,,,,,,
30/09/1971,10.5,,,,,,,
31/12/1971,10.7,,,,,,,
31/03/1972,10.8,,,,,,,
30/06/1972,10.9,,,,,,,
29/09/1972,11.1,,,,,,,
29/12/1972,11.2,,,,,,,
30/03/1973,11.4,,,,,,,
29/06/1973,11.8,,,,,,,
28/09/1973,12.2,,,,,,,
31/12/1973,12.6,,,,,,,
29/03/1974,13,,,,,,,
28/06/1974,13.5,,,,,,,
30/09/1974,14.2,,,,,,,
31/12/1974,14.7,,,,,,,
31/03/1975,15.3,,,,,,,
30/06/1975,15.8,,,,,,,
30/09/1975,15.9,,,,,,,
31/12/1975,16.8,,,,,,,
31/03/1976,17.3,,,,,,,
30/06/1976,17.7,,,,,,,
30/09/1976,18.1,,,,,,,
31/12/1976,19.2,,,,,,,
31/03/1977,19.6,,,,,,,
30/06/1977,20.1,,,,,,,
30/09/1977,20.5,,,,,,,
30/12/1977,21,,,,,,,
31/03/1978,21.3,,,,,,,
30/06/1978,21.7,,,,,,,
29/09/1978,22.1,,,,,,,
29/12/1978,22.6,,,,,,,
30/03/1979,23,,,,,,,
29/06/1979,23.6,,,,,,,
28/09/1979,24.2,,,,,,,
31/12/1979,24.9,,,,,,,
31/03/1980,25.4,,,,,,,
30/06/1980,26.2,,,,,,,
30/09/1980,26.6,,,,,,,
31/12/1980,27.2,,,,,,,
31/03/1981,27.8,,,,,,,
30/06/1981,28.4,,,,,,,
30/09/1981,29,,,,,,,
31/12/1981,30.2,,,,,,,
31/03/1982,30.8,,,,,,,
30/06/1982,31.5,,,,,,,
30/09/1982,32.6,,,,,,,
31/12/1982,33.6,,,,,,,
31/03/1983,34.3,,,,,,,
30/06/1983,35,,,,,,,
30/09/1983,35.6,,,,,,,
30/12/1983,36.5,,,,,,,
30/03/1984,36.3,,,,,,,
29/06/1984,36.4,,,,,,,
28/09/1984,36.9,,,,,,,
31/12/1984,37.4,,,,,,,
29/03/1985,37.9,,,,,,,
28/06/1985,38.8,,,,,,,
30/09/1985,39.7,,,,,,,
31/12/1985,40.5,,,,,,,
31/03/1986,41.4,,,,,,,
30/06/1986,42.1,,,,,,,
30/09/1986,43.2,,,,,,,
31/12/1986,44.4,,,,,,,
31/03/1987,45.3,,,,,,,
30/06/1987,46,,,,,,,
30/09/1987,46.8,,,,,,,
31/12/1987,47.6,,,,,,,
31/03/1988,48.4,,,,,,,
30/06/1988,49.3,,,,,,,
30/09/1988,50.2,,,,,,,
30/12/1988,51.2,,,,,,,
31/03/1989,51.7,,,,,,,
30/06/1989,53,,,,,,,
29/09/1989,54.2,,,,,,,
29/12/1989,55.2,,,,,,,
30/03/1990,56.2,,,,,,,
29/06/1990,57.1,,,,,,,
28/09/1990,57.5,,,,,,,
31/12/1990,59,,,,,,,
29/03/1991,58.9,,,,,,,
28/06/1991,59,,,,,,,
30/09/1991,59.3,,,,,,,
31/12/1991,59.9,,,,,,,
31/03/1992,59.9,,,,,,,
30/06/1992,59.7,,,,,,,
30/09/1992,59.8,,,,,,,
31/12/1992,60.1,,,,,,,
31/03/1993,60.6,,,,,,,
30/06/1993,60.8,,,,,,,
30/09/1993,61.1,,,,,,,
31/12/1993,61.2,,,,,,,
31/03/1994,61.5,,,,,,,
30/06/1994,61.9,,,,,,,
30/09/1994,62.3,,,,,,,
30/12/1994,62.8,,,,,,,
31/03/1995,63.8,,,,,,,
30/06/1995,64.7,,,,,,,
29/09/1995,65.5,,,,,,,
29/12/1995,66,,,,,,,
29/03/1996,66.2,,,,,,,
28/06/1996,66.7,,,,,,,
30/09/1996,66.9,,,,,,,
31/12/1996,67,,,,,,,
31/03/1997,67.1,,,,,,,
30/06/1997,66.9,,,,,,,
30/09/1997,66.6,,,,,,,
31/12/1997,66.8,,,,,,,
31/03/1998,67,,,,,,,
30/06/1998,67.4,,,,,,,
30/09/1998,67.5,,,,,,,
31/12/1998,67.8,,,,,,,
31/03/1999,67.8,,,,,,,
30/06/1999,68.1,,,,,,,
30/09/1999,68.7,,,,,,,
31/12/1999,69.1,,,,,,,
31/03/2000,69.7,,,,,,,
30/06/2000,70.2,,,,,,,
29/09/2000,72.9,,,,,,,
29/12/2000,73.1,,,,,,,
30/03/2001,73.9,,,,,,,
29/06/2001,74.5,,,,,,,
28/09/2001,74.7,,,,,,,
31/12/2001,75.4,,,,,,,
29/03/2002,76.1,,,,,,,
28/06/2002,76.6,,,,,,,
30/09/2002,77.1,,,,,,,
31/12/2002,77.6,,,,,,,
31/03/2003,78.6,,,,,,,
30/06/2003,78.6,,,,,,,
30/09/2003,79.1,,,,,,,
31/12/2003,79.5,,,,,,,
31/03/2004,80.2,,,,,,,
30/06/2004,80.6,,,,,,,
30/09/2004,80.9,,,,,,,
31/12/2004,81.5,,,,,,,
31/03/2005,82.1,,,,,,,
30/06/2005,82.6,,,,,,,
30/09/2005,83.4,,,,,,,
30/12/2005,83.8,,,,,,,
31/03/2006,84.5,,,,,,,
30/06/2006,85.9,,,,,,,
29/09/2006,86.7,,,,,,,
29/12/2006,86.6,,,,,,,
30/03/2007,86.6,,,,,,,
29/06/2007,87.7,,,,,,,
28/09/2007,88.3,,,,,,,
31/12/2007,89.1,,,,,,,
31/03/2008,90.3,,,,,,,
30/06/2008,91.6,,,,,,,
30/09/2008,92.7,,,,,,,
31/12/2008,92.4,,,,,,,
31/03/2009,92.5,,,,,,,
30/06/2009,92.9,,,,,,,
30/09/2009,93.8,,,,,,,
31/12/2009,94.3,,,,,,,
31/03/2010,95.2,,,,,,,
30/06/2010,95.8,,,,,,,
30/09/2010,96.5,,,,,,,
31/12/2010,96.9,,,,,,,
31/03/2011,98.3,,,,,,,
30/06/2011,99.2,,,,,,,
30/09/2011,99.8,,,,,,,
30/12/2011,99.8,,,,,,,
30/03/2012,99.9,,,,,,,
29/06/2012,100.4,,,,,,,
28/09/2012,101.8,,,,,,,
31/12/2012,102,,,,,,,
29/03/2013,102.4,,,,,,,
28/06/2013,102.8,,,,,,,
30/09/2013,104,,,,,,,
31/12/2013,104.8,,,,,,,
31/03/2014,105.4,,,,,,,
30/06/2014,105.9,,,,,,,
30/09/2014,106.4,,,,,,,
31/12/2014,106.6,,,,,,,
31/03/2015,106.8,,,,,,,
30/06/2015,107.5,,,,,,,
30/09/2015,108,,,,,,,
31/12/2015,108.4,,,,,,,
31/03/2016,108.2,,,,,,,
