Date,XAO,,,,,,,
30/04/1950,109.35,,,,,,,
31/05/1950,108.42,,,,,,,
30/06/1950,108.42,,,,,,,
31/07/1950,106.36,,,,,,,
31/08/1950,111.21,,,,,,,
30/09/1950,116.26,,,,,,,
31/10/1950,119.76,,,,,,,
30/11/1950,125.43,,,,,,,
31/12/1950,126.15,,,,,,,
31/01/1951,132.75,,,,,,,
28/02/1951,132.03,,,,,,,
31/03/1951,134.09,,,,,,,
30/04/1951,138.62,,,,,,,
31/05/1951,143.57,,,,,,,
30/06/1951,141.2,,,,,,,
31/07/1951,138.52,,,,,,,
31/08/1951,132.95,,,,,,,
30/09/1951,127.28,,,,,,,
31/10/1951,128.32,,,,,,,
30/11/1951,121.62,,,,,,,
31/12/1951,115.74,,,,,,,
31/01/1952,115.33,,,,,,,
29/02/1952,107.29,,,,,,,
31/03/1952,103.99,,,,,,,
30/04/1952,96.98,,,,,,,
31/05/1952,97.81,,,,,,,
30/06/1952,96.06,,,,,,,
31/07/1952,98.94,,,,,,,
31/08/1952,96.78,,,,,,,
30/09/1952,95.75,,,,,,,
31/10/1952,95.54,,,,,,,
30/11/1952,96.26,,,,,,,
31/12/1952,95.44,,,,,,,
31/01/1953,99.97,,,,,,,
28/02/1953,100.39,,,,,,,
31/03/1953,98.94,,,,,,,
30/04/1953,96.16,,,,,,,
31/05/1953,96.78,,,,,,,
30/06/1953,97.4,,,,,,,
31/07/1953,99.66,,,,,,,
31/08/1953,102.24,,,,,,,
30/09/1953,103.37,,,,,,,
31/10/1953,101.42,,,,,,,
30/11/1953,101.21,,,,,,,
31/12/1953,102.76,,,,,,,
31/01/1954,102.96,,,,,,,
28/02/1954,105.44,,,,,,,
31/03/1954,105.64,,,,,,,
30/04/1954,105.64,,,,,,,
31/05/1954,107.91,,,,,,,
30/06/1954,111.31,,,,,,,
31/07/1954,116.15,,,,,,,
31/08/1954,118.52,,,,,,,
30/09/1954,118.42,,,,,,,
31/10/1954,117.8,,,,,,,
30/11/1954,116.67,,,,,,,
31/12/1954,116.26,,,,,,,
31/01/1955,118.42,,,,,,,
28/02/1955,119.66,,,,,,,
31/03/1955,119.86,,,,,,,
30/04/1955,119.97,,,,,,,
31/05/1955,122.13,,,,,,,
30/06/1955,124.4,,,,,,,
31/07/1955,128.52,,,,,,,
31/08/1955,127.7,,,,,,,
30/09/1955,123.88,,,,,,,
31/10/1955,123.68,,,,,,,
30/11/1955,120.38,,,,,,,
31/12/1955,121.72,,,,,,,
31/01/1956,123.99,,,,,,,
29/02/1956,123.68,,,,,,,
31/03/1956,120.79,,,,,,,
30/04/1956,120.28,,,,,,,
31/05/1956,118.83,,,,,,,
30/06/1956,115.54,,,,,,,
31/07/1956,116.67,,,,,,,
31/08/1956,119.97,,,,,,,
30/09/1956,122.54,,,,,,,
31/10/1956,124.19,,,,,,,
30/11/1956,123.47,,,,,,,
31/12/1956,123.78,,,,,,,
31/01/1957,128.52,,,,,,,
28/02/1957,130.69,,,,,,,
31/03/1957,130.69,,,,,,,
30/04/1957,134.29,,,,,,,
31/05/1957,135.53,,,,,,,
30/06/1957,136.35,,,,,,,
31/07/1957,139.24,,,,,,,
31/08/1957,143.05,,,,,,,
30/09/1957,144.19,,,,,,,
31/10/1957,137.18,,,,,,,
30/11/1957,138.52,,,,,,,
31/12/1957,136.77,,,,,,,
31/01/1958,141.4,,,,,,,
28/02/1958,145.53,,,,,,,
31/03/1958,142.44,,,,,,,
30/04/1958,143.36,,,,,,,
31/05/1958,142.95,,,,,,,
30/06/1958,148.62,,,,,,,
31/07/1958,150.58,,,,,,,
31/08/1958,153.98,,,,,,,
30/09/1958,150.78,,,,,,,
31/10/1958,150.06,,,,,,,
30/11/1958,153.26,,,,,,,
31/12/1958,156.56,,,,,,,
31/01/1959,161.91,,,,,,,
28/02/1959,161.91,,,,,,,
31/03/1959,162.12,,,,,,,
30/04/1959,168.41,,,,,,,
31/05/1959,173.87,,,,,,,
30/06/1959,178.41,,,,,,,
31/07/1959,192.11,,,,,,,
31/08/1959,196.34,,,,,,,
30/09/1959,204.69,,,,,,,
31/10/1959,213.14,,,,,,,
30/11/1959,212,,,,,,,
31/12/1959,217.05,,,,,,,
31/01/1960,229.32,,,,,,,
29/02/1960,219.94,,,,,,,
31/03/1960,220.15,,,,,,,
30/04/1960,229.11,,,,,,,
31/05/1960,232.31,,,,,,,
30/06/1960,231.48,,,,,,,
31/07/1960,237.36,,,,,,,
31/08/1960,237.15,,,,,,,
30/09/1960,229.83,,,,,,,
31/10/1960,215.82,,,,,,,
30/11/1960,192.83,,,,,,,
31/12/1960,190.88,,,,,,,
31/01/1961,198.5,,,,,,,
28/02/1961,200.98,,,,,,,
31/03/1961,197.88,,,,,,,
30/04/1961,208.19,,,,,,,
31/05/1961,214.68,,,,,,,
30/06/1961,213.86,,,,,,,
31/07/1961,213.76,,,,,,,
31/08/1961,209.43,,,,,,,
30/09/1961,205.82,,,,,,,
31/10/1961,207.47,,,,,,,
30/11/1961,204.27,,,,,,,
31/12/1961,208.19,,,,,,,
31/01/1962,215.61,,,,,,,
28/02/1962,222.93,,,,,,,
31/03/1962,213.86,,,,,,,
30/04/1962,211.9,,,,,,,
31/05/1962,209.53,,,,,,,
30/06/1962,204.38,,,,,,,
31/07/1962,201.9,,,,,,,
31/08/1962,203.55,,,,,,,
30/09/1962,198.3,,,,,,,
31/10/1962,205,,,,,,,
30/11/1962,202.11,,,,,,,
31/12/1962,206.95,,,,,,,
31/01/1963,210.25,,,,,,,
28/02/1963,212.11,,,,,,,
31/03/1963,213.86,,,,,,,
30/04/1963,218.7,,,,,,,
31/05/1963,218.7,,,,,,,
30/06/1963,222.62,,,,,,,
31/07/1963,237.87,,,,,,,
31/08/1963,244.57,,,,,,,
30/09/1963,238.9,,,,,,,
31/10/1963,238.8,,,,,,,
30/11/1963,246.22,,,,,,,
31/12/1963,252.3,,,,,,,
31/01/1964,258.8,,,,,,,
29/02/1964,263.54,,,,,,,
31/03/1964,260.24,,,,,,,
30/04/1964,256.12,,,,,,,
31/05/1964,253.85,,,,,,,
30/06/1964,258.07,,,,,,,
31/07/1964,261.37,,,,,,,
31/08/1964,260.55,,,,,,,
30/09/1964,252.41,,,,,,,
31/10/1964,247.56,,,,,,,
30/11/1964,247.87,,,,,,,
31/12/1964,255.5,,,,,,,
31/01/1965,245.71,,,,,,,
28/02/1965,239.01,,,,,,,
31/03/1965,226.64,,,,,,,
30/04/1965,217.47,,,,,,,
31/05/1965,223.75,,,,,,,
30/06/1965,210.77,,,,,,,
31/07/1965,221.59,,,,,,,
31/08/1965,222.52,,,,,,,
30/09/1965,212.11,,,,,,,
31/10/1965,223.14,,,,,,,
30/11/1965,218.08,,,,,,,
31/12/1965,223.86,,,,,,,
31/01/1966,227.57,,,,,,,
28/02/1966,223.75,,,,,,,
31/03/1966,218.7,,,,,,,
30/04/1966,228.08,,,,,,,
31/05/1966,219.73,,,,,,,
30/06/1966,228.19,,,,,,,
31/07/1966,230.04,,,,,,,
31/08/1966,219.84,,,,,,,
30/09/1966,218.29,,,,,,,
31/10/1966,219.01,,,,,,,
30/11/1966,219.42,,,,,,,
31/12/1966,231.79,,,,,,,
31/01/1967,231.9,,,,,,,
28/02/1967,225.09,,,,,,,
31/03/1967,224.06,,,,,,,
30/04/1967,233.85,,,,,,,
31/05/1967,239.21,,,,,,,
30/06/1967,252.41,,,,,,,
31/07/1967,273.74,,,,,,,
31/08/1967,276.42,,,,,,,
30/09/1967,287.04,,,,,,,
31/10/1967,304.35,,,,,,,
30/11/1967,307.44,,,,,,,
31/12/1967,310.84,,,,,,,
31/01/1968,333.41,,,,,,,
29/02/1968,318.47,,,,,,,
31/03/1968,328.78,,,,,,,
30/04/1968,375.26,,,,,,,
31/05/1968,407.11,,,,,,,
30/06/1968,418.55,,,,,,,
31/07/1968,419.89,,,,,,,
31/08/1968,422.46,,,,,,,
30/09/1968,366.29,,,,,,,
31/10/1968,365.88,,,,,,,
30/11/1968,393.09,,,,,,,
31/12/1968,417.93,,,,,,,
31/01/1969,432.56,,,,,,,
28/02/1969,424.94,,,,,,,
31/03/1969,433.49,,,,,,,
30/04/1969,441.12,,,,,,,
31/05/1969,414.84,,,,,,,
30/06/1969,402.78,,,,,,,
31/07/1969,383.71,,,,,,,
31/08/1969,383.92,,,,,,,
30/09/1969,391.65,,,,,,,
31/10/1969,408.65,,,,,,,
30/11/1969,416.07,,,,,,,
31/12/1969,455.34,,,,,,,
31/01/1970,437.41,,,,,,,
28/02/1970,425.45,,,,,,,
31/03/1970,418.44,,,,,,,
30/04/1970,383.3,,,,,,,
31/05/1970,348.87,,,,,,,
30/06/1970,390.41,,,,,,,
31/07/1970,405.15,,,,,,,
31/08/1970,404.84,,,,,,,
30/09/1970,408.86,,,,,,,
31/10/1970,371.65,,,,,,,
30/11/1970,359.9,,,,,,,
31/12/1970,359.39,,,,,,,
31/01/1971,348.26,,,,,,,
