Date,XAO,,,,,,,
4/30/50,109.35,,,,,,,
5/31/50,108.42,,,,,,,
6/30/50,108.42,,,,,,,
7/31/50,106.36,,,,,,,
8/31/50,111.21,,,,,,,
9/30/50,116.26,,,,,,,
10/31/50,119.76,,,,,,,
11/30/50,125.43,,,,,,,
12/31/50,126.15,,,,,,,
1/31/51,132.75,,,,,,,
2/28/51,132.03,,,,,,,
3/31/51,134.09,,,,,,,
4/30/51,138.62,,,,,,,
5/31/51,143.57,,,,,,,
6/30/51,141.2,,,,,,,
7/31/51,138.52,,,,,,,
8/31/51,132.95,,,,,,,
9/30/51,127.28,,,,,,,
10/31/51,128.32,,,,,,,
11/30/51,121.62,,,,,,,
12/31/51,115.74,,,,,,,
1/31/52,115.33,,,,,,,
2/29/52,107.29,,,,,,,
3/31/52,103.99,,,,,,,
4/30/52,96.98,,,,,,,
5/31/52,97.81,,,,,,,
6/30/52,96.06,,,,,,,
7/31/52,98.94,,,,,,,
8/31/52,96.78,,,,,,,
9/30/52,95.75,,,,,,,
10/31/52,95.54,,,,,,,
11/30/52,96.26,,,,,,,
12/31/52,95.44,,,,,,,
1/31/53,99.97,,,,,,,
2/28/53,100.39,,,,,,,
3/31/53,98.94,,,,,,,
4/30/53,96.16,,,,,,,
5/31/53,96.78,,,,,,,
6/30/53,97.4,,,,,,,
7/31/53,99.66,,,,,,,
8/31/53,102.24,,,,,,,
9/30/53,103.37,,,,,,,
10/31/53,101.42,,,,,,,
11/30/53,101.21,,,,,,,
12/31/53,102.76,,,,,,,
1/31/54,102.96,,,,,,,
2/28/54,105.44,,,,,,,
3/31/54,105.64,,,,,,,
4/30/54,105.64,,,,,,,
5/31/54,107.91,,,,,,,
6/30/54,111.31,,,,,,,
7/31/54,116.15,,,,,,,
8/31/54,118.52,,,,,,,
9/30/54,118.42,,,,,,,
10/31/54,117.8,,,,,,,
11/30/54,116.67,,,,,,,
12/31/54,116.26,,,,,,,
1/31/55,118.42,,,,,,,
2/28/55,119.66,,,,,,,
3/31/55,119.86,,,,,,,
4/30/55,119.97,,,,,,,
5/31/55,122.13,,,,,,,
6/30/55,124.4,,,,,,,
7/31/55,128.52,,,,,,,
8/31/55,127.7,,,,,,,
9/30/55,123.88,,,,,,,
10/31/55,123.68,,,,,,,
11/30/55,120.38,,,,,,,
12/31/55,121.72,,,,,,,
1/31/56,123.99,,,,,,,
2/29/56,123.68,,,,,,,
3/31/56,120.79,,,,,,,
4/30/56,120.28,,,,,,,
5/31/56,118.83,,,,,,,
6/30/56,115.54,,,,,,,
7/31/56,116.67,,,,,,,
8/31/56,119.97,,,,,,,
9/30/56,122.54,,,,,,,
10/31/56,124.19,,,,,,,
11/30/56,123.47,,,,,,,
12/31/56,123.78,,,,,,,
1/31/57,128.52,,,,,,,
2/28/57,130.69,,,,,,,
3/31/57,130.69,,,,,,,
4/30/57,134.29,,,,,,,
5/31/57,135.53,,,,,,,
6/30/57,136.35,,,,,,,
7/31/57,139.24,,,,,,,
8/31/57,143.05,,,,,,,
9/30/57,144.19,,,,,,,
10/31/57,137.18,,,,,,,
11/30/57,138.52,,,,,,,
12/31/57,136.77,,,,,,,
1/31/58,141.4,,,,,,,
2/28/58,145.53,,,,,,,
3/31/58,142.44,,,,,,,
4/30/58,143.36,,,,,,,
5/31/58,142.95,,,,,,,
6/30/58,148.62,,,,,,,
7/31/58,150.58,,,,,,,
8/31/58,153.98,,,,,,,
9/30/58,150.78,,,,,,,
10/31/58,150.06,,,,,,,
11/30/58,153.26,,,,,,,
12/31/58,156.56,,,,,,,
1/31/59,161.91,,,,,,,
2/28/59,161.91,,,,,,,
3/31/59,162.12,,,,,,,
4/30/59,168.41,,,,,,,
5/31/59,173.87,,,,,,,
6/30/59,178.41,,,,,,,
7/31/59,192.11,,,,,,,
8/31/59,196.34,,,,,,,
9/30/59,204.69,,,,,,,
10/31/59,213.14,,,,,,,
11/30/59,212,,,,,,,
12/31/59,217.05,,,,,,,
1/31/60,229.32,,,,,,,
2/29/60,219.94,,,,,,,
3/31/60,220.15,,,,,,,
4/30/60,229.11,,,,,,,
5/31/60,232.31,,,,,,,
6/30/60,231.48,,,,,,,
7/31/60,237.36,,,,,,,
8/31/60,237.15,,,,,,,
9/30/60,229.83,,,,,,,
10/31/60,215.82,,,,,,,
11/30/60,192.83,,,,,,,
12/31/60,190.88,,,,,,,
1/31/61,198.5,,,,,,,
2/28/61,200.98,,,,,,,
3/31/61,197.88,,,,,,,
4/30/61,208.19,,,,,,,
5/31/61,214.68,,,,,,,
6/30/61,213.86,,,,,,,
7/31/61,213.76,,,,,,,
8/31/61,209.43,,,,,,,
9/30/61,205.82,,,,,,,
10/31/61,207.47,,,,,,,
11/30/61,204.27,,,,,,,
12/31/61,208.19,,,,,,,
1/31/62,215.61,,,,,,,
2/28/62,222.93,,,,,,,
3/31/62,213.86,,,,,,,
4/30/62,211.9,,,,,,,
5/31/62,209.53,,,,,,,
6/30/62,204.38,,,,,,,
7/31/62,201.9,,,,,,,
8/31/62,203.55,,,,,,,
9/30/62,198.3,,,,,,,
10/31/62,205,,,,,,,
11/30/62,202.11,,,,,,,
12/31/62,206.95,,,,,,,
1/31/63,210.25,,,,,,,
2/28/63,212.11,,,,,,,
3/31/63,213.86,,,,,,,
4/30/63,218.7,,,,,,,
5/31/63,218.7,,,,,,,
6/30/63,222.62,,,,,,,
7/31/63,237.87,,,,,,,
8/31/63,244.57,,,,,,,
9/30/63,238.9,,,,,,,
10/31/63,238.8,,,,,,,
11/30/63,246.22,,,,,,,
12/31/63,252.3,,,,,,,
1/31/64,258.8,,,,,,,
2/29/64,263.54,,,,,,,
3/31/64,260.24,,,,,,,
4/30/64,256.12,,,,,,,
5/31/64,253.85,,,,,,,
6/30/64,258.07,,,,,,,
7/31/64,261.37,,,,,,,
8/31/64,260.55,,,,,,,
9/30/64,252.41,,,,,,,
10/31/64,247.56,,,,,,,
11/30/64,247.87,,,,,,,
12/31/64,255.5,,,,,,,
1/31/65,245.71,,,,,,,
2/28/65,239.01,,,,,,,
3/31/65,226.64,,,,,,,
4/30/65,217.47,,,,,,,
5/31/65,223.75,,,,,,,
6/30/65,210.77,,,,,,,
7/31/65,221.59,,,,,,,
8/31/65,222.52,,,,,,,
9/30/65,212.11,,,,,,,
10/31/65,223.14,,,,,,,
11/30/65,218.08,,,,,,,
12/31/65,223.86,,,,,,,
1/31/66,227.57,,,,,,,
2/28/66,223.75,,,,,,,
3/31/66,218.7,,,,,,,
4/30/66,228.08,,,,,,,
5/31/66,219.73,,,,,,,
6/30/66,228.19,,,,,,,
7/31/66,230.04,,,,,,,
8/31/66,219.84,,,,,,,
9/30/66,218.29,,,,,,,
10/31/66,219.01,,,,,,,
11/30/66,219.42,,,,,,,
12/31/66,231.79,,,,,,,
1/31/67,231.9,,,,,,,
2/28/67,225.09,,,,,,,
3/31/67,224.06,,,,,,,
4/30/67,233.85,,,,,,,
5/31/67,239.21,,,,,,,
6/30/67,252.41,,,,,,,
7/31/67,273.74,,,,,,,
8/31/67,276.42,,,,,,,
9/30/67,287.04,,,,,,,
10/31/67,304.35,,,,,,,
11/30/67,307.44,,,,,,,
